amenity,name,cuisine,longitude,latitude
bar,N/A,N/A,-74.1003,4.5838
bar,N/A,N/A,-74.1001,4.5836
bar,N/A,N/A,-74.1004,4.5837
bar,N/A,N/A,-74.1005,4.5839
bar,N/A,N/A,-74.1005,4.584
bar,N/A,N/A,-74.1006,4.5841
bar,N/A,N/A,-74.1007,4.5843
bar,N/A,N/A,-74.1006,4.5839
bar,N/A,N/A,-74.1008,4.5841
bar,N/A,N/A,-74.1007,4.5845
bar,N/A,N/A,-74.1006,4.5844
bar,N/A,N/A,-74.1005,4.5845
bar,N/A,N/A,-74.1006,4.5847
bar,N/A,N/A,-74.1005,4.5848
bar,N/A,N/A,-74.1008,4.5844
bar,Broadway Karaoke,N/A,-74.1001,4.5848
bar,N/A,N/A,-74.1,4.5841
bar,N/A,N/A,-74.0999,4.584
bar,Martica Bar,N/A,-74.0915,4.573
bar,Curuba Café Bar,N/A,-74.0688,4.628
bar,Le bar de la Biere,N/A,-74.1551,4.6
bar,Canares Lounge,N/A,-74.0645,4.6316
bar,Kovalto Bar,N/A,-74.0684,4.6297
bar,Sanwich-Bar,N/A,-74.155,4.5998
bar,Boos Bonny,N/A,-74.0985,4.5837
bar,N/A,N/A,-74.1481,4.6734
bar,Azul,N/A,-74.1192,4.6101
bar,N/A,N/A,-74.1479,4.675
bar,Los Elegidos,N/A,-74.0505,4.7503
bar,N/A,N/A,-74.1795,4.6331
bar,El Bigotudo,N/A,-74.0503,4.75
bar,N/A,N/A,-74.0971,4.7066
bar,N/A,N/A,-74.0966,4.7062
bar,Mi lindo Puerto Rico,N/A,-74.1032,4.7557
bar,Santana,N/A,-74.1084,4.7526
bar,Radio Transistor,N/A,-74.0658,4.6276
bar,Okey Paisa,N/A,-74.0476,4.7571
bar,N/A,N/A,-74.1245,4.7075
bar,N/A,N/A,-74.1475,4.6746
bar,N/A,N/A,-74.1329,4.5999
bar,OPEN,N/A,-74.1004,4.7067
bar,Edi son,N/A,-74.1005,4.7074
bar,N/A,N/A,-74.099,4.7066
bar,N/A,N/A,-74.0971,4.6757
bar,Potrerito,N/A,-74.0787,4.6341
bar,N/A,N/A,-74.0785,4.634
bar,Deep Blue,N/A,-74.0799,4.6333
bar,La Turquesa,N/A,-74.0824,4.6316
bar,Bavara Bar,N/A,-74.0819,4.6315
bar,Academia de Billar La Nacional,N/A,-74.0782,4.6342
bar,N/A,N/A,-74.1542,4.6379
bar,N/A,N/A,-74.1543,4.6379
bar,Casa Vieja,N/A,-74.1701,4.6248
bar,Billares,N/A,-74.1392,4.5944
bar,La fonda Antioqueña,N/A,-74.1394,4.5947
bar,Billares,N/A,-74.1382,4.5943
bar,Triamonthy,N/A,-74.1385,4.5931
bar,Casa Bar,N/A,-74.1384,4.5931
bar,Club de Billares Floralia,N/A,-74.1324,4.6108
bar,N/A,N/A,-74.107,4.6954
bar,Terraza San Esteban,N/A,-74.0649,4.6321
bar,la sede del futbolista,N/A,-74.0892,4.6888
bar,donde lucas,N/A,-74.0897,4.6887
bar,BAR,N/A,-74.0484,4.7588
bar,bar 80,N/A,-74.0487,4.7584
bar,bar,N/A,-74.0487,4.7584
bar,bar,N/A,-74.0484,4.7583
bar,cigarreria bar 43,N/A,-74.0476,4.7574
bar,N/A,N/A,-74.1686,4.6081
bar,Sabana Bar,N/A,-74.0651,4.6328
bar,BAR,N/A,-74.1093,4.654
bar,Gatogris,N/A,-74.1782,4.6305
bar,La Pruebita,N/A,-74.0973,4.7124
bar,N/A,N/A,-74.132,4.5817
bar,Chupitos Bar,N/A,-74.0558,4.6678
bar,Crown Casinos/Bar,N/A,-74.055,4.6679
bar,Sunrise Bar,N/A,-74.0555,4.6686
bar,Vaquerito Bar,N/A,-74.056,4.6674
bar,N/A,N/A,-74.1142,4.7566
bar,N/A,N/A,-74.1148,4.756
bar,N/A,N/A,-74.115,4.7557
bar,N/A,N/A,-74.1142,4.7579
bar,Son 4 ruta-Bar,N/A,-74.0678,4.6347
bar,Terraza 47,N/A,-74.0679,4.6347
bar,Magna Music hall,N/A,-74.0679,4.6347
bar,N/A,N/A,-74.0681,4.6347
bar,Cafe Bar Demetrius,N/A,-74.0661,4.6384
bar,N/A,N/A,-74.0473,4.7583
bar,TIKAL,N/A,-74.102,4.5898
bar,El Rinconcito,N/A,-74.067,4.6334
bar,Picapiedra,N/A,-74.0669,4.6334
bar,La Sombrilla,N/A,-74.0668,4.6334
bar,Punto Orange,N/A,-74.0667,4.6334
bar,N/A,N/A,-74.1009,4.7393
bar,Tienda el Barcito,N/A,-74.0678,4.6335
bar,Palermo 45,N/A,-74.0668,4.6325
bar,In my place,N/A,-74.0664,4.633
bar,N/A,N/A,-74.0666,4.6317
bar,Chicas malas,N/A,-74.0666,4.6365
bar,N/A,N/A,-74.0667,4.6365
bar,Ventanilla blanca,N/A,-74.0667,4.6366
bar,Cafe internet bar,N/A,-74.0667,4.6366
bar,Berajad,N/A,-74.1493,4.6028
bar,venta insumos de cerveza,N/A,-74.0798,4.6768
bar,PATO MAR,N/A,-74.178,4.628
bar,BILLARES LEÓN,N/A,-74.1775,4.6281
bar,EL PORTAL,N/A,-74.1776,4.6278
bar,METALLICA,N/A,-74.1773,4.6278
bar,DIVERMANIA,N/A,-74.0651,4.638
bar,Moon Pub,N/A,-74.1126,4.6585
bar,Karaoke,N/A,-74.1127,4.6586
bar,Apartamento 101,N/A,-74.1127,4.6587
bar,San Sebastián,N/A,-74.1127,4.6588
bar,Romeo,N/A,-74.1127,4.6589
bar,Bar Berakah,N/A,-74.15,4.6028
bar,N/A,N/A,-74.2117,4.6114
bar,El Bandi,N/A,-74.0661,4.6296
bar,Good Game,N/A,-74.0659,4.6292
bar,D horemo,N/A,-74.0984,4.7471
bar,san martina,N/A,-74.098,4.7475
bar,los rosales,N/A,-74.0983,4.7469
bar,Billar Danubio Club,N/A,-74.0662,4.6373
bar,N/A,N/A,-74.1309,4.5815
bar,Somos La Diferencia,N/A,-74.1157,4.5021
bar,BIZARRE ROCK BAR,N/A,-74.0781,4.6341
bar,N/A,N/A,-74.0482,4.758
bar,N/A,N/A,-74.146,4.6505
bar,N/A,N/A,-74.1467,4.6498
bar,N/A,N/A,-74.0466,4.7578
bar,N/A,N/A,-74.0473,4.758
bar,Los 3 gaticos,N/A,-74.0476,4.7575
bar,bar el chalet,N/A,-74.1076,4.5509
bar,N/A,N/A,-74.1429,4.6078
bar,N/A,N/A,-74.143,4.6067
bar,14 Inkas,N/A,-74.0296,4.6958
bar,Cigarrería guepaje,N/A,-74.0859,4.628
bar,Statua Rota,N/A,-74.0624,4.6403
bar,cigarreria tío sam,N/A,-74.0754,4.6456
bar,MORENA SALSA,N/A,-74.1166,4.5117
bar,La Villa Gringo Tuesdays,N/A,-74.0551,4.669
bar,N/A,N/A,-74.1387,4.6188
bar,N/A,N/A,-74.1387,4.6189
bar,N/A,N/A,-74.1386,4.6189
bar,N/A,N/A,-74.1386,4.6188
bar,N/A,N/A,-74.1385,4.6189
bar,N/A,N/A,-74.1385,4.6188
bar,N/A,N/A,-74.1384,4.6189
bar,N/A,N/A,-74.1384,4.6188
bar,N/A,N/A,-74.1384,4.6188
bar,N/A,N/A,-74.1384,4.6189
bar,N/A,N/A,-74.1383,4.6188
bar,N/A,N/A,-74.1382,4.6189
bar,N/A,N/A,-74.1382,4.6189
bar,N/A,N/A,-74.1381,4.6189
bar,N/A,N/A,-74.1382,4.6187
bar,N/A,N/A,-74.1381,4.6187
bar,N/A,N/A,-74.138,4.6187
bar,N/A,N/A,-74.138,4.6189
bar,N/A,N/A,-74.138,4.6189
bar,N/A,N/A,-74.138,4.6187
bar,N/A,N/A,-74.1379,4.6189
bar,N/A,N/A,-74.1379,4.6187
bar,N/A,N/A,-74.1379,4.6187
bar,N/A,N/A,-74.1378,4.6189
bar,N/A,N/A,-74.1376,4.6189
bar,N/A,N/A,-74.1375,4.619
bar,N/A,N/A,-74.0644,4.6413
bar,barcelona bar,N/A,-74.1484,4.6401
bar,L'Aldea,N/A,-74.0682,4.6009
bar,Bolon de Verde,N/A,-74.0696,4.5971
bar,La Cascada,N/A,-74.0967,4.6704
bar,Alcatraz,N/A,-74.097,4.6692
bar,Clan Fami,N/A,-74.0969,4.6695
bar,N/A,N/A,-74.1439,4.6113
bar,La Trampa Vallenata,N/A,-74.0766,4.6424
bar,Sports Cafe Bar,N/A,-74.076,4.6422
bar,El gato naranjo,N/A,-74.0702,4.6005
bar,GrindHouse,N/A,-74.0388,4.6699
bar,Tramoya,N/A,-74.0774,4.6344
bar,Cantina NN,N/A,-74.0909,4.6219
bar,El Mono Bandido,N/A,-74.06,4.654
bar,Rosas,N/A,-74.0704,4.6005
bar,Billiars,N/A,-74.0722,4.6007
bar,Jimenez,N/A,-74.0717,4.6006
bar,Papyros,N/A,-74.0702,4.6005
