DEPARTAMENTO;PASAJEROS
ANTIOQUIA;760590
ATLÁNTICO;157202
BOGOTÁ, D. C.;2005014
BOLÍVAR;247050
CALDAS;0
CAQUETÁ;0
CAUCA;0
CESAR;1132
CÓRDOBA;2306
CHOCÓ;0
HUILA;0
LA GUAJIRA;1121
MAGDALENA;4274
META;0
NARIÑO;1048
NORTE DE SANTANDER;20653
QUINDÍO;32589
RISARALDA;90117
SANTANDER;39651
SUCRE;0
TOLIMA;0
VALLE DEL CAUCA;389124
CASANARE;0
PUTUMAYO;0
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;5282
AMAZONAS;32
GUAINÍA;0
